id_pendidikan,id_kelurahan,paud_lk,tk_lk,sd_lk,smp_lk,sma_lk,d1_d2_lk,d3_lk,s1_lk,s2_lk,s3_lk,paud_pr,tk_pr,sd_pr,smp_pr,sma_pr,d1_d2_pr,d3_pr,s1_pr,s2_pr,s3_pr,update
46,46,2128,1997,423,401,1157,1376,1026,1084,2380,2435,123,132,81,104,1313,1279,137,108,11,6,2017-11-30
47,47,1623,1547,486,485,997,1256,890,995,2181,2261,74,78,154,197,1571,1533,153,111,20,6,2017-11-30
48,48,1853,1737,489,453,1027,1279,911,1005,2216,2059,71,91,69,125,1161,1106,72,67,9,3,2017-11-30
49,49,2151,1973,500,447,932,1107,860,901,2324,2528,147,179,148,205,2436,2271,248,192,28,18,2017-11-30
50,50,2313,2117,569,523,1492,1813,1152,1269,2591,2346,127,117,106,99,1148,1139,115,94,8,3,2017-11-30
51,51,2761,2587,387,403,1463,1957,1404,1473,3477,3272,54,63,89,104,657,654,50,32,1,2,2017-11-30
52,52,4859,4257,788,717,2215,2959,2290,2473,5434,5227,137,132,238,254,1758,1754,105,77,9,1,2017-11-30
53,53,3849,3558,737,731,2121,2740,2145,2230,4739,4350,121,126,133,164,1225,1336,76,51,1,2,2017-11-30
54,54,5925,5456,732,705,2587,3351,2543,2812,6231,5854,214,223,206,311,1827,1739,178,144,7,9,2017-11-30
55,55,2403,2279,357,379,1483,1883,1261,1306,2761,2609,43,53,73,109,660,687,45,20,0,0,2017-11-30
56,56,2962,2900,389,364,1496,2068,1467,1786,3904,3757,111,109,147,189,1000,1008,94,79,5,6,2017-11-30
57,57,6511,6008,658,653,4935,5788,3008,2949,4760,3968,80,91,84,127,664,722,53,31,3,1,2017-11-30
58,58,2910,2721,579,586,1618,1958,1499,1600,3297,2975,70,64,85,157,678,649,31,24,1,1,2017-11-30
59,59,2219,2066,1026,884,1635,2303,1776,1917,3837,3518,27,38,100,129,765,745,52,36,3,1,2017-11-30
60,60,1593,1637,698,608,1543,1897,1246,1331,2683,2368,24,25,43,59,455,475,21,10,3,0,2017-11-30
61,61,1916,1926,732,673,2448,3036,1380,1364,2088,1660,17,14,10,22,383,334,20,7,0,0,2017-11-30
62,62,2918,3141,1191,1058,3844,4190,1438,1432,2157,1646,14,22,38,36,318,312,30,11,0,0,2017-11-30
63,63,2078,2042,880,815,1784,2373,1701,1648,3297,2740,28,39,69,101,591,562,35,23,0,1,2017-11-30
64,64,1050,918,385,384,1099,1462,873,871,1628,1537,17,17,38,66,453,430,22,18,0,0,2017-11-30
65,65,867,859,247,250,974,1156,710,837,1344,1291,21,19,36,31,364,273,14,6,0,0,2017-11-30
66,66,1941,1865,453,431,1850,2509,1418,1522,3121,2533,33,24,80,77,538,506,22,20,0,0,2017-11-30
67,67,1662,1488,390,361,2146,2797,1189,1068,2146,1703,33,28,39,47,407,310,25,7,2,0,2017-11-30
68,68,2922,2820,769,660,3400,4291,1924,1897,4383,3617,97,87,225,190,1139,1027,93,51,3,0,2017-11-30
69,69,555,499,285,259,424,599,495,600,1292,1197,17,14,52,75,309,368,20,8,4,0,2017-11-30
70,70,1273,1144,654,632,1144,1550,977,1089,2583,2342,30,37,112,120,562,544,30,24,3,1,2017-11-30
71,71,2840,2693,1256,1181,2316,3175,2225,2356,5405,4513,66,62,134,149,778,731,54,30,3,1,2017-11-30
72,72,2507,2466,1230,1162,2621,3298,2038,2085,4189,3574,48,52,127,154,841,778,36,26,1,0,2017-11-30
73,73,2485,2322,1208,1124,1792,2427,1764,1965,4977,4624,46,61,169,231,1067,1034,77,54,1,3,2017-11-30
74,74,899,869,378,380,492,676,565,659,1632,1490,29,38,77,93,620,628,51,28,4,0,2017-11-30
75,75,1737,1622,607,575,1304,1598,1059,1135,2219,1910,34,26,75,79,554,545,36,24,0,1,2017-11-30
76,76,1097,1059,447,434,621,837,558,656,1665,1504,62,47,78,108,450,434,40,23,1,0,2017-11-30
77,77,3840,3576,1697,1566,1043,1842,1954,2542,6980,6792,187,181,455,534,2810,2582,153,100,2,3,2017-11-30
78,78,973,919,449,410,732,969,731,677,1466,1254,19,22,39,62,307,305,18,14,1,1,2017-11-30
79,79,1233,1159,495,416,559,879,781,804,2028,1788,40,39,87,100,508,479,23,20,0,0,2017-11-30
80,80,2122,1905,337,336,1408,1776,1030,1132,2027,1880,71,77,18,36,447,453,72,50,1,0,2017-11-30
81,81,2522,2482,469,433,2006,2719,1277,1247,2617,2213,60,59,33,47,573,505,41,24,3,1,2017-11-30
82,82,1815,1660,460,445,721,944,774,929,2863,3075,280,209,96,99,1360,1210,96,61,3,1,2017-11-30
83,83,3168,2993,652,628,2718,3434,1941,1815,3421,2926,56,71,52,72,548,486,28,17,1,3,2017-11-30
84,84,6550,6151,1248,1207,5766,7396,3758,3456,5392,4209,109,103,43,93,688,631,47,22,2,1,2017-11-30
85,85,2014,1919,862,846,1716,2477,1978,2105,2952,2609,68,55,53,48,723,546,32,16,0,1,2017-11-30
86,86,3506,3767,1644,1561,5378,5889,2823,2462,3201,2559,54,56,35,42,419,410,21,17,2,1,2017-11-30
87,87,7925,7649,3555,3430,9862,11556,6993,6366,7544,6017,130,104,133,176,966,977,70,50,3,1,2017-11-30
88,88,4089,4174,1827,1698,6457,7158,2592,2224,2521,1975,39,42,104,95,382,400,30,20,0,2,2017-11-30
89,89,3426,3434,1672,1589,5269,5947,3184,2905,3401,2855,42,49,42,69,475,479,43,14,2,0,2017-11-30
90,90,6614,6335,2337,2171,5298,6492,4167,4157,8735,7443,175,147,127,197,1023,1082,57,52,2,2,2017-11-30
91,91,7195,6958,2331,2362,7907,9003,4146,3943,7377,6219,173,189,86,148,1153,1103,58,35,1,2,2017-11-30
92,92,4001,3788,1711,1544,4721,5264,2135,2016,4086,3254,39,47,37,94,332,380,18,5,1,0,2017-11-30
93,93,1931,1830,800,815,2019,2305,1191,1206,1873,1542,32,27,33,48,186,191,11,12,1,0,2017-11-30
94,94,1065,1084,256,254,740,945,479,513,1393,1122,14,24,46,71,339,362,23,22,2,0,2017-11-30
95,95,985,971,296,278,831,1012,618,510,1180,1055,16,20,19,37,227,225,17,16,2,1,2017-11-30
96,96,920,952,465,426,572,721,478,460,1247,1002,12,24,44,57,341,337,20,19,1,1,2017-11-30
97,97,2419,2117,446,430,1131,1442,777,830,2445,2303,91,100,61,85,1062,1070,66,55,0,1,2017-11-30
98,98,1530,1455,258,243,855,1026,478,504,1649,1528,44,48,67,86,690,748,48,23,5,1,2017-11-30
99,99,686,683,170,166,478,560,376,333,743,593,9,11,11,23,148,145,8,5,0,0,2017-11-30
