id_pendidikan,id_kelurahan,paud_lk,tk_lk,sd_lk,smp_lk,sma_lk,d1_d2_lk,d3_lk,s1_lk,s2_lk,s3_lk,paud_pr,tk_pr,sd_pr,smp_pr,sma_pr,d1_d2_pr,d3_pr,s1_pr,s2_pr,s3_pr,update
228,74,899,869,378,380,492,676,565,659,1632,1490,29,38,77,93,620,628,51,28,4,0,2017-12-30
229,75,1737,1622,607,575,1304,1598,1059,1135,2219,1910,34,26,75,79,554,545,36,24,0,1,2017-12-30
230,76,1097,1059,447,434,621,837,558,656,1665,1504,62,47,78,108,450,434,40,23,1,0,2017-12-30
231,77,3840,3576,1697,1566,1043,1842,1954,2542,6980,6792,187,181,455,534,2810,2582,153,100,2,3,2017-12-30
232,78,973,919,449,410,732,969,731,677,1466,1254,19,22,39,62,307,305,18,14,1,1,2017-12-30
233,79,1233,1159,495,416,559,879,781,804,2028,1788,40,39,87,100,508,479,23,20,0,0,2017-12-30
234,80,2122,1905,337,336,1408,1776,1030,1132,2027,1880,71,77,18,36,447,453,72,50,1,0,2017-12-30
235,81,2522,2482,469,433,2006,2719,1277,1247,2617,2213,60,59,33,47,573,505,41,24,3,1,2017-12-30
236,82,1815,1660,460,445,721,944,774,929,2863,3075,280,209,96,99,1360,1210,96,61,3,1,2017-12-30
237,83,3168,2993,652,628,2718,3434,1941,1815,3421,2926,56,71,52,72,548,486,28,17,1,3,2017-12-30
238,84,6550,6151,1248,1207,5766,7396,3758,3456,5392,4209,109,103,43,93,688,631,47,22,2,1,2017-12-30
239,85,2014,1919,862,846,1716,2477,1978,2105,2952,2609,68,55,53,48,723,546,32,16,0,1,2017-12-30
240,86,3506,3767,1644,1561,5378,5889,2823,2462,3201,2559,54,56,35,42,419,410,21,17,2,1,2017-12-30
241,87,7925,7649,3555,3430,9862,11556,6993,6366,7544,6017,130,104,133,176,966,977,70,50,3,1,2017-12-30
242,88,4089,4174,1827,1698,6457,7158,2592,2224,2521,1975,39,42,104,95,382,400,30,20,0,2,2017-12-30
243,89,3426,3434,1672,1589,5269,5947,3184,2905,3401,2855,42,49,42,69,475,479,43,14,2,0,2017-12-30
244,90,6614,6335,2337,2171,5298,6492,4167,4157,8735,7443,175,147,127,197,1023,1082,57,52,2,2,2017-12-30
245,91,7195,6958,2331,2362,7907,9003,4146,3943,7377,6219,173,189,86,148,1153,1103,58,35,1,2,2017-12-30
246,92,4001,3788,1711,1544,4721,5264,2135,2016,4086,3254,39,47,37,94,332,380,18,5,1,0,2017-12-30
247,93,1931,1830,800,815,2019,2305,1191,1206,1873,1542,32,27,33,48,186,191,11,12,1,0,2017-12-30
248,94,1065,1084,256,254,740,945,479,513,1393,1122,14,24,46,71,339,362,23,22,2,0,2017-12-30
249,95,985,971,296,278,831,1012,618,510,1180,1055,16,20,19,37,227,225,17,16,2,1,2017-12-30
250,96,920,952,465,426,572,721,478,460,1247,1002,12,24,44,57,341,337,20,19,1,1,2017-12-30
251,97,2419,2117,446,430,1131,1442,777,830,2445,2303,91,100,61,85,1062,1070,66,55,0,1,2017-12-30
252,98,1530,1455,258,243,855,1026,478,504,1649,1528,44,48,67,86,690,748,48,23,5,1,2017-12-30
253,99,686,683,170,166,478,560,376,333,743,593,9,11,11,23,148,145,8,5,0,0,2017-12-30
254,100,1957,1837,1077,989,1634,2162,1504,1588,3866,3365,31,41,151,187,853,819,44,31,3,2,2017-12-30
255,101,3381,3281,1806,1705,3007,4033,2675,2808,5805,4806,49,59,141,246,919,841,42,27,1,0,2017-12-30
256,102,314,309,174,179,448,548,358,322,504,434,2,9,6,16,66,71,7,2,1,0,2017-12-30
257,103,227,202,135,108,249,279,170,195,455,332,5,10,5,9,26,49,3,0,0,0,2017-12-30
258,104,1797,1717,722,684,1323,1740,1069,1062,2799,2486,75,61,123,165,1187,1188,129,89,4,4,2017-12-30
259,105,1092,1024,527,472,691,887,738,773,1883,1736,29,40,112,131,548,566,47,28,0,1,2017-12-30
260,106,2673,2425,1248,1118,1529,1862,1351,1405,4368,4313,108,124,218,298,2580,2503,201,101,8,4,2017-12-30
261,107,1394,1259,550,519,916,1089,769,675,2034,1904,70,65,142,167,831,807,70,62,2,2,2017-12-30
262,108,1532,1367,559,535,1003,1330,956,937,2604,2455,54,55,101,116,752,805,72,37,3,1,2017-12-30
263,109,1499,1382,603,576,931,1248,875,996,2499,2476,78,79,133,163,1379,1250,107,60,8,3,2017-12-30
264,110,1428,1342,676,651,673,961,859,941,2914,2563,65,77,159,180,744,754,40,26,0,4,2017-12-30
265,111,1475,1332,562,530,893,1136,851,918,2348,2407,51,65,138,152,1323,1275,108,74,5,2,2017-12-30
266,112,1632,1471,518,491,522,703,605,752,2101,2392,136,154,173,196,2084,1881,290,159,19,7,2017-12-30
267,113,989,955,250,255,366,556,380,543,1582,1619,88,80,82,108,950,860,108,65,1,3,2017-12-30
268,114,915,769,370,360,425,619,467,471,1470,1355,48,50,84,88,602,530,73,36,4,1,2017-12-30
269,115,1226,1172,457,450,529,673,557,630,1842,1852,60,76,105,142,1183,1091,139,84,7,5,2017-12-30
270,116,993,898,524,514,329,466,522,595,1749,1691,55,62,129,167,1028,957,100,55,8,1,2017-12-30
271,117,1432,1307,756,697,426,694,769,929,2583,2523,95,103,216,270,1597,1487,181,117,14,9,2017-12-30
272,118,962,944,511,484,467,674,551,572,2023,1803,48,60,106,124,823,795,70,41,3,1,2017-12-30
273,119,1170,1072,683,672,755,1056,832,863,2368,2076,52,62,116,170,810,776,94,49,3,2,2017-12-30
274,120,1437,1341,929,791,761,1132,990,1138,3148,2943,93,110,200,281,1785,1768,163,114,6,4,2017-12-30
275,121,1332,1207,671,684,718,1079,1030,1095,2794,2409,34,47,75,113,962,944,57,41,6,3,2017-12-30
276,122,941,816,573,546,551,716,682,794,1493,1540,70,76,121,175,929,941,154,101,15,7,2017-12-30
277,123,1231,1201,567,542,766,1009,862,922,2135,1943,53,73,84,122,874,821,79,56,5,2,2017-12-30
278,124,1989,1941,1038,983,1054,1421,1275,1423,2882,2614,84,102,167,206,1687,1633,176,104,13,5,2017-12-30
279,125,1136,967,624,592,582,854,778,907,2208,1971,66,78,112,157,1181,1107,78,48,2,1,2017-12-30
280,126,1284,1137,571,506,431,610,625,765,2018,2170,101,117,188,207,1522,1362,136,94,15,6,2017-12-30
281,127,942,838,471,430,355,447,385,454,1144,1170,67,86,109,124,1152,1151,107,79,11,3,2017-12-30
282,128,2097,1898,380,359,1063,1361,904,1014,2328,2387,84,102,117,146,1810,1818,199,122,12,11,2017-12-30
283,129,2048,1855,457,392,854,1169,932,991,2571,2605,88,107,78,110,1626,1571,160,101,4,6,2017-12-30
284,130,927,872,259,234,490,602,395,434,880,795,27,32,41,64,480,473,54,30,2,2,2017-12-30
285,131,1694,1559,418,353,533,641,550,728,1981,2203,91,123,136,149,1964,1918,194,115,12,9,2017-12-30
286,132,1563,1587,448,419,831,1032,862,1021,2375,2385,61,60,85,164,1747,1678,131,94,14,4,2017-12-30
287,133,1414,1272,571,541,909,1123,859,914,2128,2036,31,43,79,117,828,789,51,38,2,1,2017-12-30
288,134,1206,1161,350,348,973,1111,708,782,1901,1647,30,28,30,41,465,430,11,13,1,0,2017-12-30
289,135,1111,1057,416,403,615,801,738,824,2071,2102,43,51,83,109,947,941,47,37,6,0,2017-12-30
290,136,799,779,202,219,334,409,331,413,1315,1333,40,53,37,64,1049,1049,60,46,3,3,2017-12-30
291,137,694,683,288,291,520,694,473,506,1188,1037,28,30,27,27,228,243,15,12,2,0,2017-12-30
292,138,2574,2404,867,849,1330,1935,1475,1602,4249,3922,67,111,126,157,1199,1058,65,37,2,1,2017-12-30
293,139,4763,4473,1706,1675,2845,3583,2763,2882,7107,6210,109,150,211,251,1336,1337,69,56,5,3,2017-12-30
294,140,4967,4747,697,700,4810,5130,2079,2006,3388,2811,77,77,71,87,586,555,64,37,1,0,2017-12-30
295,141,1193,1107,188,176,1069,1256,567,569,958,702,10,12,11,11,85,88,6,3,0,0,2017-12-30
296,142,977,885,184,209,715,843,549,565,1038,798,12,26,17,23,154,150,13,9,0,0,2017-12-30
297,143,862,845,227,199,1023,1116,388,362,490,404,2,3,6,11,65,59,4,1,0,0,2017-12-30
298,144,1000,903,159,155,633,787,389,362,818,755,27,28,15,28,374,376,38,21,3,1,2017-12-30
299,145,2259,2188,863,759,1577,1995,1587,1613,3189,2823,57,54,86,119,594,633,59,37,3,0,2017-12-30
300,146,1324,1330,369,343,864,1064,611,634,1459,1376,83,44,125,113,603,634,53,32,3,1,2017-12-30
301,147,953,917,403,362,715,893,704,712,1568,1302,15,18,34,50,248,271,9,12,0,0,2017-12-30
302,148,2389,2295,1014,927,1095,1413,1300,1488,4304,3835,76,84,183,243,1410,1334,86,48,3,4,2017-12-30
303,149,1238,1158,505,462,997,1249,950,910,1622,1305,29,23,46,69,288,277,12,13,1,1,2017-12-30
304,150,1279,1193,407,366,941,1181,868,871,1712,1448,5,15,57,59,254,265,17,8,0,0,2017-12-30
305,151,2016,2077,987,920,1352,1656,1192,1325,3118,2851,67,70,169,235,1261,1229,77,49,5,0,2017-12-30
306,152,825,812,430,414,886,1022,648,682,1208,930,15,14,44,54,363,389,26,18,1,2,2017-12-30
307,153,502,471,250,246,439,629,452,423,808,671,6,4,22,17,130,124,7,6,0,1,2017-12-30
308,154,2798,2603,1306,1203,1761,2273,1736,1953,4819,4360,98,123,234,311,1736,1527,122,77,1,1,2017-12-30
