,NAMA_KEC,NAMA_KEL,PNS,DOSEN,GURU,GURU/DOSEN,TANI,POLRI,BURUH_HARIAN_LEPAS,BURUH_TANI_PERKEBUNAN,BURUH_NELAYAN_PERIKANAN,BURUH_PETERNAKAN,BURUH,PEDAGANG,PEDAGANG,PEDAGANG,TNI,MAHASISWA,NELAYAN,SWASTA,PELAJAR,BELUM KERJA,PENSIUN,ANGGOTA_DPR_RI,ANGGOTA_DPD,ANGGOTA_BPK,PRESIDEN,WAKIL_PRESIDEN,ANGGOTA_MAHKAMAH_KONSTITUSI,ANGGOTA_KABINET_KEMENTERIAN,DUTA_BESAR,GUBERNUR,WAKIL_GUBERNUR,BUPATI,WAKIL_BUPATI,WALIKOTA,WAKIL_WALIKOTA,ANGGOTA_DPRD_PROVINSI,ANGGOTA_DPRD_KABUPATEN_KOTA,PTN,IRT,WIRASWASTA,TUKANG_CUKUR,TUKANG_LISTRIK,TUKANG_BATU,TUKANG_KAYU,TUKANG_SOL_SEPATU,TUKANG_LAS_PANDAI_BESI,TUKANG_JAHIT,TUKANG_GIGI,TUKANG,LAIN2NYA,DOKTER,FAKIR
18,LAKAR SANTRI,BANGKINGAN,133,14,80,94,27,221,5,3,0,0,8,2,2,4,106,366,0,2340,1462,2213,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1861,139,0,0,0,0,0,0,0,0,0,9,3,0
,,JERUK,33,4,43,47,3,3,1,0,0,0,1,1,1,2,15,295,0,2277,1181,2410,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2002,283,0,0,1,0,0,0,0,0,1,19,11,0
,,LAKARSANTRI,75,10,63,73,30,9,37,10,0,1,48,31,16,47,20,339,0,2179,1356,2228,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686,287,0,0,21,1,1,2,2,0,27,24,9,0
,,LIDAH KULON,223,26,112,138,11,30,24,1,0,0,25,9,15,24,110,551,0,4608,2205,5195,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3394,704,0,0,2,0,0,0,1,0,3,33,23,0
,,LIDAH WETAN,119,28,132,160,10,20,11,5,0,0,16,23,17,40,27,376,0,3167,1504,3386,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2237,442,0,0,29,0,1,3,0,0,33,33,21,0
,,SUMUR WELUT,21,0,28,28,36,7,4,1,0,0,5,0,7,7,36,186,0,1558,742,1499,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,287,0,0,3,0,0,0,0,0,3,25,8,0
19,BENOWO,KANDANGAN,376,22,224,246,31,147,46,10,0,0,56,22,31,53,140,1082,0,6760,4326,4917,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945,855,0,1,6,2,0,0,0,0,9,39,17,0
,,SEMEMI,324,21,276,297,118,74,38,14,0,0,52,49,57,106,125,1590,2,10811,6360,8838,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6683,1507,0,0,7,5,0,3,4,0,19,58,16,0
,,TAMBAK OSOWILANGUN,19,5,48,53,6,1,9,0,0,0,9,1,8,9,3,179,44,603,715,862,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,777,0,0,0,1,0,0,0,0,1,3,2,0
,,ROMOKALISARI,13,0,29,29,5,4,12,0,5,0,17,7,2,9,0,96,2,784,383,618,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,122,0,0,2,2,0,0,1,0,5,2,0,0
20,WIYUNG,WIYUNG,314,32,177,209,6,34,7,0,0,0,7,0,33,33,83,835,0,5665,3340,4430,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3393,645,0,0,6,0,0,0,0,0,6,9,56,0
,,JAJARTUNGGAL,137,16,89,105,0,15,31,0,0,0,31,10,71,81,79,479,0,3360,1916,2741,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2076,417,0,4,47,59,2,7,10,0,129,6,24,0
,,BABATAN,465,56,244,300,17,50,54,6,1,0,61,13,78,91,91,1429,0,7798,5715,6225,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5046,1774,1,4,236,16,0,5,25,0,287,15,103,0
,,BALAS KLUMPRIK,363,29,176,205,10,32,4,2,0,0,6,0,15,15,276,573,0,4010,2293,3260,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2305,267,0,0,0,0,0,0,0,0,0,6,20,0
21,DUKUH PAKIS,DUKUH PAKIS,148,14,90,104,1,23,37,1,0,0,38,14,34,48,28,683,0,4739,2730,3326,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2920,891,0,0,15,1,0,1,4,0,21,28,68,0
,,DUKUH KUPANG,197,33,128,161,3,33,73,1,0,0,74,42,64,106,32,780,0,4400,3119,3411,158,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3188,1105,1,3,39,5,0,6,9,1,64,25,92,0
,,GUNUNGSARI,180,20,117,137,6,26,77,0,0,0,77,23,48,71,397,722,0,4216,2887,3230,179,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,2773,691,0,2,13,3,0,1,1,0,20,10,18,0
,,PRADAHKALIKENDAL,80,24,81,105,14,16,49,0,0,0,49,18,67,85,18,797,1,4404,3188,3358,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046,987,0,3,21,1,0,0,5,0,30,38,55,0
22,GAYUNGAN,KETINTANG,918,99,234,333,2,372,10,0,0,1,11,14,20,34,57,768,0,3885,3072,3730,326,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2315,839,0,0,1,4,0,0,7,0,12,50,141,0
,,MENANGGAL,420,33,106,139,2,25,9,1,0,0,10,6,13,19,33,435,0,2848,1739,2361,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1445,441,0,0,1,0,0,0,0,0,1,36,42,0
,,DUKUH MENANGGAL,265,15,73,88,6,17,26,1,0,0,27,7,27,34,106,415,1,2475,1659,1915,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,378,0,3,11,1,0,2,3,0,20,23,13,0
,,GAYUNGAN,391,59,83,142,6,66,17,2,0,0,19,8,22,30,40,583,0,3450,2333,2780,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941,682,0,0,3,2,0,0,2,0,7,65,61,0
23,JAMBANGAN,JAMBANGAN,410,51,201,252,18,52,9,1,0,0,10,4,30,34,79,570,0,2717,2278,2258,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1712,627,0,0,19,1,1,0,0,0,21,7,30,0
,,KARAH,592,63,236,299,12,40,44,2,0,0,46,36,97,133,84,840,0,4108,3360,3409,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,770,0,0,9,8,0,1,5,1,24,36,70,0
,,KEBONSARI,388,19,166,185,9,52,20,0,1,0,21,10,35,45,48,574,0,3322,2297,2276,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843,318,0,1,4,1,0,0,0,0,6,6,23,0
,,PAGESANGAN,343,26,143,169,8,34,50,2,0,0,52,36,103,139,71,742,0,4229,2969,2471,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154,591,2,5,30,2,0,1,4,0,44,9,20,0
24,TENGGILIS MEJOYO,KUTISARI,376,75,124,199,1,37,15,0,0,0,15,31,26,57,32,955,0,6090,3819,3269,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3554,1051,0,0,30,6,0,1,6,0,43,1,57,0
,,KENDANGSARI,158,27,108,135,0,19,8,0,0,0,8,24,18,42,38,712,1,5195,2846,3132,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2752,752,0,1,2,0,0,0,0,0,3,0,43,0
,,TENGGILIS MEJOYO,244,72,98,170,3,10,62,2,0,0,64,50,77,127,20,544,0,2725,2176,2253,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2021,916,0,1,27,9,0,2,10,1,50,1,46,0
,,PANJANG JIWO,176,42,90,132,3,18,22,1,0,0,23,19,13,32,20,606,3,4039,2423,2934,115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2478,785,0,4,18,1,2,1,1,0,27,0,47,0
25,GUNUNG ANYAR,GUNUNG ANYAR,434,127,224,351,27,39,42,12,0,0,54,45,68,113,37,1097,4,6193,4388,4508,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3068,1069,1,1,32,7,1,4,6,0,52,10,48,0
,,RUNGKUT TENGAH,137,39,112,151,6,19,32,1,1,1,35,35,27,62,21,744,1,4292,2976,2623,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2152,658,1,2,7,2,0,3,4,0,19,4,37,0
,,RUNGKUT MENANGGAL,428,87,185,272,3,47,32,0,0,0,32,23,23,46,37,677,0,4187,2708,2854,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2046,540,1,1,7,3,0,5,1,0,18,3,61,0
,,GUNUNG ANYAR TAMBAK,244,88,113,201,22,11,8,1,2,2,13,10,6,16,25,511,14,2791,2044,2078,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1359,491,0,0,2,1,0,0,1,0,4,0,22,0
26,MULYOREJO,MULYOREJO,275,87,120,207,14,11,18,4,0,0,22,16,51,67,25,838,0,4886,3352,4345,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3283,1298,0,0,3,0,0,0,1,0,4,20,209,0
,,MANYAR SABRANGAN,404,44,131,175,15,20,12,3,0,0,15,9,42,51,20,738,1,5017,2951,4399,145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3066,1233,0,0,0,0,0,0,0,0,0,26,119,0
,,KEJAWAN PUTIH TAMBAK,78,27,82,109,15,3,16,4,7,0,27,7,19,26,5,341,12,1466,1363,1884,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1272,747,0,0,4,0,0,0,0,0,4,7,24,0
,,KALISARI,366,93,127,220,12,14,3,2,2,0,7,10,11,21,43,691,11,4323,2765,3612,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533,983,0,0,0,0,0,0,0,0,0,25,147,0
,,DUKUH SUTOREJO,221,83,148,231,9,7,14,2,1,0,17,10,25,35,21,836,11,4739,3344,3570,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3159,874,0,0,4,0,0,1,4,0,9,11,116,0
,,KALIJUDAN,200,29,112,141,14,25,22,1,1,0,24,21,31,52,25,646,0,4232,2583,2934,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2556,702,0,3,12,3,0,1,7,0,26,10,44,0
27,SUKOMANUNGGAL,SUKO MANUNGGAL,69,1,50,51,17,20,20,0,0,0,20,7,17,24,20,474,0,3336,1897,2743,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311,605,0,0,3,4,0,1,1,0,9,15,15,0
,,TANJUNGSARI,58,14,59,73,2,13,22,2,0,0,24,16,39,55,25,622,0,3486,2486,2687,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2678,648,1,0,6,5,0,1,5,0,18,16,42,0
,,SONO KWIJENAN,55,13,41,54,2,5,3,1,0,0,4,7,14,21,5,399,0,2646,1595,1770,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752,475,0,0,0,1,0,0,0,0,1,8,65,0
,,PUTAT GEDE,60,3,33,36,8,6,10,0,0,0,10,7,27,34,23,328,0,1981,1313,1547,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1318,561,0,0,4,0,0,0,0,0,4,27,11,0
,,SIMOMULYO,349,25,235,260,17,39,41,5,0,0,46,44,96,140,71,1036,0,6593,4145,5891,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4641,1361,1,0,9,4,0,1,7,0,22,45,12,0
,,SIMOMULYO BARU,475,43,301,344,57,62,163,4,0,0,167,106,212,318,105,1647,1,10978,6589,11051,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7932,2726,6,5,48,14,1,7,17,0,98,53,25,0
28,ASEMROWO,ASEMROWO,257,17,137,154,104,30,47,4,1,0,52,43,94,137,29,892,1,7003,3566,11955,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6328,3039,0,0,2,0,0,1,3,0,6,16,17,0
,,GENTING KALIANAK,37,4,32,36,15,6,22,2,1,0,25,7,7,14,19,262,5,1917,1047,2627,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,706,0,0,1,0,0,0,0,0,1,8,0,0
,,TAMBAK SARIOSO,37,4,68,72,13,6,38,0,27,0,65,29,19,48,14,197,96,1616,788,2437,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,441,0,1,4,0,2,1,1,0,9,3,3,0
29,BULAK,KEDUNG COWEK,15,1,56,57,14,3,9,1,5,0,15,4,28,32,13,222,276,1139,888,1873,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346,351,0,0,1,0,0,0,0,0,1,17,0,0
,,KENJERAN,42,16,81,97,10,3,2,0,0,0,2,5,16,21,14,246,114,1929,984,2028,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,397,0,0,1,0,0,0,0,0,1,4,9,0
,,BULAK,230,27,234,261,19,35,17,2,1,0,20,6,19,25,59,911,44,6368,3642,4654,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,992,0,0,22,2,5,0,3,0,32,17,14,0
,,SUKOLILO BARU,187,15,101,116,6,28,3,1,2,1,7,10,30,40,517,439,237,2255,1757,3059,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,414,0,0,4,0,1,0,0,0,5,9,37,0
30,PAKAL,PAKAL,69,9,119,128,86,18,20,9,0,1,30,15,24,39,24,423,1,2837,1693,2095,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749,316,0,0,5,0,0,1,3,0,9,12,4,0
,,BABAT JERAWAT,430,55,389,444,148,102,24,6,0,0,30,29,27,56,177,1195,2,6736,4780,5323,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4014,906,0,2,4,1,2,0,1,0,10,16,22,0
,,SUMBER REJO,180,6,161,167,315,5,10,33,3,0,46,15,26,41,24,469,1,3481,1876,2721,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1853,326,0,0,7,1,0,0,1,0,9,7,2,0
,,BENOWO,97,16,125,141,69,91,11,12,2,1,26,35,53,88,27,487,1,3072,1948,2691,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090,494,0,0,1,0,0,2,0,0,3,20,9,0
31,SAMBI KEREP,SAMBIKEREP,295,31,163,194,210,43,10,8,1,0,19,14,43,57,61,994,0,5983,3974,4158,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4358,953,0,0,6,3,0,0,0,0,9,2,32,0
,,MADE,32,6,52,58,55,10,1,0,0,0,1,3,24,27,15,424,0,2759,1695,1632,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,179,0,0,3,1,0,0,0,0,4,1,12,0
,,BRINGIN,38,2,36,38,79,11,2,1,0,0,3,1,35,36,18,259,0,1550,1035,1062,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,231,0,1,1,0,0,0,0,0,2,1,1,0
,,LONTAR,382,35,253,288,88,25,22,8,1,0,31,24,98,122,72,1386,0,8424,5542,6133,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5838,1596,1,1,9,2,0,0,2,0,15,1,49,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
