id_kelurahan,usia_0_5_l,usia_0_5_p,usia_18_25_l,usia_18_25_p,usia_6_9_l,usia_6_9_p,usia_26_40_l,usia_26_40_p,usia_10_16_l,usia_10_16_p,usia_41_59_l,usia_41_59_p,usia_17_l,usia_17_p,usia_60_l,usia_60_p,,
38,506,557,942,834,435,390,1733,1702,819,718,2181,2299,126,111,789,1084,,
39,1983,1796,2729,2643,1514,1359,5498,5681,2557,2403,6234,6609,415,381,2556,3080,,
40,755,641,1225,1157,563,562,2163,2312,1094,994,3178,3363,171,164,1187,1645,,
41,1021,934,1547,1474,811,750,2925,3001,1505,1360,3701,3909,212,222,1372,1823,,
42,586,505,910,881,521,431,1735,1880,893,845,2435,2542,131,124,1046,1472,,
43,480,470,843,826,426,372,1618,1694,764,708,2104,2236,135,128,1002,1312,,
44,804,725,1061,1021,527,541,2111,2201,978,899,2129,2141,134,133,732,760,,
45,336,311,447,429,256,207,967,1001,362,376,916,983,57,60,396,429,,
46,725,691,999,986,533,511,2205,2329,932,856,2255,2412,164,122,983,1030,,
47,588,551,884,884,453,446,2004,2090,841,798,2182,2323,113,111,1093,1270,,
48,671,623,860,812,562,495,2102,2156,837,809,1979,2121,115,121,767,800,,
49,799,735,1101,1089,601,501,2456,2541,958,892,2510,2712,181,135,1170,1218,,
50,841,813,1150,1098,654,598,2450,2493,1119,977,2385,2510,161,169,861,862,,
51,716,705,1224,1133,628,535,2456,2385,1097,1005,2862,3067,177,161,1197,1568,,
52,1449,1237,1949,1956,1155,959,4180,4265,2038,1740,4787,4991,305,268,1998,2460,,
53,1264,1127,1737,1695,962,904,3747,3813,1670,1488,3912,4135,247,236,1625,1906,,
54,1704,1678,2457,2307,1373,1209,4976,4960,2304,2023,5211,5601,339,313,2094,2525,,
55,651,643,1058,978,533,483,2142,2191,1030,937,2455,2565,132,138,1094,1400,,
56,790,851,1337,1376,711,614,2690,2807,1252,1175,3288,3498,186,203,1333,1758,,
57,1851,1659,2591,2469,1410,1299,5562,5387,2282,2121,4812,5168,331,292,1937,1963,,
58,960,878,1385,1338,680,638,2582,2691,1212,1189,2973,3044,213,173,774,799,,
59,841,769,1332,1316,691,618,2674,2711,1317,1074,3055,3174,200,164,1345,1831,,
60,655,607,1006,915,482,461,1980,1971,871,842,2142,2189,138,116,1037,1310,,
61,738,662,1089,1032,560,520,2197,1995,998,936,2225,2414,163,121,1024,1356,,
62,1058,924,1553,1518,803,709,2829,2800,1296,1161,2941,3031,242,166,1239,1556,,
63,856,703,1242,1210,624,585,2467,2329,1103,1070,2817,2894,173,160,1188,1398,,
64,403,324,623,614,321,312,1357,1326,601,531,1400,1498,94,81,779,1024,,
65,332,325,579,567,263,236,1086,1092,477,475,1164,1159,68,65,608,803,,
66,687,683,1164,1146,595,551,2223,2137,1045,927,2504,2621,131,120,1112,1310,,
67,632,553,1018,966,469,444,2009,1857,889,734,2052,2080,117,113,856,1064,,
68,1008,911,1805,1632,893,906,3594,3591,1676,1487,4033,3984,256,230,1695,1906,,
69,235,204,440,380,171,169,754,787,367,312,897,965,59,53,530,749,,
70,546,532,921,898,423,377,1747,1730,847,731,1971,2085,142,134,771,999,,
71,1188,1138,1834,1794,988,885,3556,3580,1689,1588,4148,4048,255,249,1423,1614,,
72,1072,1053,1720,1663,853,773,3264,3232,1579,1440,3593,3629,269,237,1294,1573,,
73,1053,961,1615,1574,858,826,3056,3212,1600,1434,3821,3939,237,188,1352,1714,,
74,364,383,574,537,311,263,1267,1234,452,463,1158,1302,63,59,558,620,,
75,671,602,942,946,502,433,2005,1957,862,790,1868,1955,108,109,667,723,,
76,475,425,567,517,348,372,1308,1357,592,556,1144,1221,88,59,497,595,,
77,1540,1528,1946,1957,1330,1131,4721,4900,2213,2008,4887,5218,297,270,2187,2706,,
78,431,386,582,539,317,280,1227,1208,514,497,1180,1193,88,72,396,458,,
79,516,470,610,585,417,377,1442,1444,643,552,1407,1495,89,81,631,681,,
80,601,538,917,898,461,420,1738,1758,832,775,1978,2028,125,119,881,1109,,
81,725,711,1143,1118,589,588,2301,2284,1073,962,2543,2610,157,145,1071,1313,,
82,568,525,984,887,424,440,1818,1860,907,841,2586,2640,150,137,1031,1303,,
83,938,912,1512,1472,831,735,2989,3003,1394,1211,3373,3363,237,183,1311,1566,,
84,2024,1827,3094,3013,1573,1442,5806,5824,2634,2453,5927,6084,410,368,2139,2260,,
85,868,752,1304,1185,688,634,2381,2402,1123,1020,2704,2881,172,161,1158,1587,,
86,1398,1281,2264,2059,1059,1059,4240,4206,1950,1832,4237,4139,329,262,1606,1927,,
87,3294,3037,4694,4665,2635,2398,9585,9348,4400,4011,8611,8684,638,577,3333,3617,,
88,1580,1455,2374,2299,1306,1134,4475,4489,2183,2000,4220,4300,320,263,1586,1849,,
89,1387,1279,2319,2263,1103,1042,4242,4136,1999,1818,4417,4468,324,279,1765,2056,,
90,2599,2484,3638,3639,2025,1844,7265,7327,3404,3155,7061,7097,469,439,2074,2094,,
91,2728,2555,3945,4038,2153,1953,7918,7747,3545,3376,7123,7338,572,482,2443,2473,,
92,1493,1429,2486,2416,1245,1111,4211,4313,2261,1959,4048,3907,308,292,1029,965,,
93,793,739,1140,1114,592,533,1922,2058,1063,1013,1973,1912,151,181,443,426,,
94,349,363,526,541,274,253,1141,1116,482,463,1148,1199,98,72,345,394,,
95,361,362,538,531,284,277,1045,1044,507,444,1053,1036,72,76,331,355,,
96,363,383,522,437,294,256,980,1033,515,492,1060,1007,63,57,337,372,,
97,738,640,936,934,631,518,1923,2135,1108,960,2287,2255,148,149,728,843,,
98,533,502,666,723,377,308,1427,1494,599,580,1479,1468,99,92,449,498,,
99,239,224,292,319,180,138,747,704,294,258,614,619,46,39,217,218,,
100,1015,928,1518,1452,718,651,2673,2760,1274,1219,2894,3092,184,169,844,751,,
101,1612,1520,2165,2154,1293,1261,4266,4623,2302,2129,4684,4549,308,312,1198,1258,,
102,166,164,225,245,121,131,478,439,212,194,501,526,30,28,147,163,,
103,113,98,164,134,84,74,319,311,159,136,320,315,19,18,97,98,,
104,749,689,1178,1109,563,557,2214,2301,1029,965,2460,2513,164,163,871,899,,
105,482,425,715,672,389,322,1367,1416,615,606,1529,1616,108,91,463,512,,
106,1184,1081,1736,1769,904,724,3287,3501,1681,1464,3935,4064,282,211,1289,1349,,
107,611,590,791,732,446,382,1754,1791,756,664,1702,1760,120,86,598,544,,
108,690,608,842,884,507,437,2068,2071,800,738,1830,2002,122,124,793,790,,
109,604,567,892,842,474,450,1987,2060,905,773,2143,2237,138,118,975,1192,,
110,597,546,849,791,478,471,1839,1897,907,832,2062,2045,136,109,705,824,,
111,666,570,873,938,442,427,2065,2125,789,714,1862,1992,124,104,943,1037,,
112,623,532,947,923,434,435,1736,1931,863,762,2399,2429,136,133,962,1077,,
113,373,355,534,589,249,244,1205,1194,436,454,1344,1472,77,79,578,657,,
114,394,321,474,457,297,235,1083,1131,533,463,1168,1161,74,60,438,452,,
115,455,451,711,686,383,345,1440,1509,679,619,1622,1723,108,93,708,751,,
116,497,466,574,601,383,339,1347,1415,604,556,1435,1451,93,84,508,496,,
117,724,624,872,908,503,491,1926,2014,888,783,2149,2273,130,133,881,913,,
118,468,470,650,625,364,336,1399,1401,624,586,1425,1505,86,60,548,516,,
119,633,553,828,766,435,390,1785,1741,763,734,1716,1856,81,112,642,646,,
120,787,716,1017,1081,578,520,2513,2520,975,829,2400,2660,126,129,1117,1169,,
121,623,549,865,867,491,428,2016,1998,793,722,2036,2146,96,121,759,791,,
122,459,426,593,647,355,300,1381,1503,628,584,1458,1485,97,85,558,682,,
123,524,533,770,719,431,406,1705,1789,730,666,1677,1766,132,96,687,716,,
124,923,973,1216,1210,769,648,2636,2774,1130,1109,2736,2772,192,158,768,791,,
125,560,461,868,845,376,350,1734,1621,748,626,1802,1993,109,123,573,666,,
126,625,543,717,744,448,412,1809,1845,714,622,1706,1816,89,93,787,904,,
127,452,413,500,512,327,292,1111,1296,614,532,1332,1293,102,88,305,356,,
128,729,653,1011,1027,568,485,2295,2400,983,894,2199,2363,149,144,1084,1271,,
129,648,611,992,884,547,465,2068,2209,980,819,2321,2491,131,141,1131,1287,,
130,372,324,435,438,264,244,863,935,459,412,821,848,60,67,286,274,,
131,608,556,870,810,469,420,1874,1997,829,724,1977,2067,139,131,807,1095,,
132,633,646,1022,1008,429,429,2092,2094,803,790,2033,2208,130,110,975,1159,,
133,569,513,819,818,450,375,1675,1712,817,737,1815,1904,112,124,617,694,,
134,454,416,689,674,360,323,1591,1513,623,590,1288,1396,87,88,583,561,,
135,488,440,789,720,299,306,1573,1650,588,541,1474,1699,83,99,783,871,,
136,310,315,429,365,249,217,1083,1140,352,371,1029,1118,65,56,653,786,,
137,287,261,431,394,225,204,890,969,375,394,867,913,57,61,331,327,,
138,988,913,1396,1351,779,719,3041,3111,1284,1217,3038,3199,194,189,1236,1380,,
139,1806,1717,2389,2410,1413,1316,5601,5526,2490,2208,5022,5343,326,334,1892,1788,,
140,1377,1398,2251,2080,1228,1095,4488,4380,2068,1901,3838,3799,287,292,1205,1206,,
141,389,330,498,499,310,275,1023,1027,509,478,986,946,66,79,309,291,,
142,356,305,431,406,235,205,965,907,419,394,911,897,61,52,285,344,,
143,318,288,415,393,229,209,796,746,383,370,687,683,43,47,197,264,,
144,325,288,416,410,250,242,873,858,458,399,832,847,68,69,234,303,,
145,917,922,1279,1263,690,667,2584,2696,1296,1118,2572,2590,180,179,758,787,,
146,407,431,700,632,359,368,1159,1203,675,656,1564,1513,112,79,521,691,,
147,447,420,574,589,320,311,1116,1148,573,510,1214,1142,80,78,326,342,,
148,945,943,1584,1465,765,717,2698,2837,1509,1346,3329,3284,234,211,799,868,,
149,537,459,648,643,400,358,1464,1423,712,679,1394,1346,101,83,433,476,,
150,503,488,686,699,432,374,1370,1411,670,615,1361,1364,90,92,431,364,,
151,925,902,1155,1163,724,669,2549,2761,1175,1073,2625,2647,166,144,926,1058,,
152,402,349,540,576,296,267,1055,1078,501,479,1213,1140,72,61,367,387,,
153,220,217,322,336,179,153,588,648,329,307,736,688,51,36,191,207,,
154,1259,1177,1699,1631,931,863,3792,3819,1649,1455,3627,3738,237,238,1417,1510,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
