id_usia,id_kelurahan,usia_0_5_l,usia_0_5_p,usia_18_25_l,usia_18_25_p,usia_6_9_l,usia_6_9_p,usia_26_40_l,usia_26_40_p,usia_10_16_l,usia_10_16_p,usia_41_59_l,usia_41_59_p,usia_17_l,usia_17_p,usia_60_l,usia_60_p,update,
255,101,1613,1521,2166,2155,1294,1262,4267,4624,2303,2130,4685,4550,309,313,1199,1259,2017-12-30,
256,102,167,165,226,246,122,132,479,440,213,195,502,527,31,29,148,164,2017-12-30,
257,103,114,99,165,135,85,75,320,312,160,137,321,316,20,19,98,99,2017-12-30,
258,104,750,690,1179,1110,564,558,2215,2302,1030,966,2461,2514,165,164,872,900,2017-12-30,
259,105,483,426,716,673,390,323,1368,1417,616,607,1530,1617,109,92,464,513,2017-12-30,
260,106,1185,1082,1737,1770,905,725,3288,3502,1682,1465,3936,4065,283,212,1290,1350,2017-12-30,
261,107,612,591,792,733,447,383,1755,1792,757,665,1703,1761,121,87,599,545,2017-12-30,
262,108,691,609,843,885,508,438,2069,2072,801,739,1831,2003,123,125,794,791,2017-12-30,
263,109,605,568,893,843,475,451,1988,2061,906,774,2144,2238,139,119,976,1193,2017-12-30,
264,110,598,547,850,792,479,472,1840,1898,908,833,2063,2046,137,110,706,825,2017-12-30,
265,111,667,571,874,939,443,428,2066,2126,790,715,1863,1993,125,105,944,1038,2017-12-30,
266,112,624,533,948,924,435,436,1737,1932,864,763,2400,2430,137,134,963,1078,2017-12-30,
267,113,374,356,535,590,250,245,1206,1195,437,455,1345,1473,78,80,579,658,2017-12-30,
268,114,395,322,475,458,298,236,1084,1132,534,464,1169,1162,75,61,439,453,2017-12-30,
269,115,456,452,712,687,384,346,1441,1510,680,620,1623,1724,109,94,709,752,2017-12-30,
270,116,498,467,575,602,384,340,1348,1416,605,557,1436,1452,94,85,509,497,2017-12-30,
271,117,725,625,873,909,504,492,1927,2015,889,784,2150,2274,131,134,882,914,2017-12-30,
272,118,469,471,651,626,365,337,1400,1402,625,587,1426,1506,87,61,549,517,2017-12-30,
273,119,634,554,829,767,436,391,1786,1742,764,735,1717,1857,82,113,643,647,2017-12-30,
274,120,788,717,1018,1082,579,521,2514,2521,976,830,2401,2661,127,130,1118,1170,2017-12-30,
275,121,624,550,866,868,492,429,2017,1999,794,723,2037,2147,97,122,760,792,2017-12-30,
276,122,460,427,594,648,356,301,1382,1504,629,585,1459,1486,98,86,559,683,2017-12-30,
277,123,525,534,771,720,432,407,1706,1790,731,667,1678,1767,133,97,688,717,2017-12-30,
278,124,924,974,1217,1211,770,649,2637,2775,1131,1110,2737,2773,193,159,769,792,2017-12-30,
279,125,561,462,869,846,377,351,1735,1622,749,627,1803,1994,110,124,574,667,2017-12-30,
280,126,626,544,718,745,449,413,1810,1846,715,623,1707,1817,90,94,788,905,2017-12-30,
281,127,453,414,501,513,328,293,1112,1297,615,533,1333,1294,103,89,306,357,2017-12-30,
282,128,730,654,1012,1028,569,486,2296,2401,984,895,2200,2364,150,145,1085,1272,2017-12-30,
283,129,649,612,993,885,548,466,2069,2210,981,820,2322,2492,132,142,1132,1288,2017-12-30,
284,130,373,325,436,439,265,245,864,936,460,413,822,849,61,68,287,275,2017-12-30,
285,131,609,557,871,811,470,421,1875,1998,830,725,1978,2068,140,132,808,1096,2017-12-30,
286,132,634,647,1023,1009,430,430,2093,2095,804,791,2034,2209,131,111,976,1160,2017-12-30,
287,133,570,514,820,819,451,376,1676,1713,818,738,1816,1905,113,125,618,695,2017-12-30,
288,134,455,417,690,675,361,324,1592,1514,624,591,1289,1397,88,89,584,562,2017-12-30,
289,135,489,441,790,721,300,307,1574,1651,589,542,1475,1700,84,100,784,872,2017-12-30,
290,136,311,316,430,366,250,218,1084,1141,353,372,1030,1119,66,57,654,787,2017-12-30,
291,137,288,262,432,395,226,205,891,970,376,395,868,914,58,62,332,328,2017-12-30,
292,138,989,914,1397,1352,780,720,3042,3112,1285,1218,3039,3200,195,190,1237,1381,2017-12-30,
293,139,1807,1718,2390,2411,1414,1317,5602,5527,2491,2209,5023,5344,327,335,1893,1789,2017-12-30,
294,140,1378,1399,2252,2081,1229,1096,4489,4381,2069,1902,3839,3800,288,293,1206,1207,2017-12-30,
295,141,390,331,499,500,311,276,1024,1028,510,479,987,947,67,80,310,292,2017-12-30,
296,142,357,306,432,407,236,206,966,908,420,395,912,898,62,53,286,345,2017-12-30,
297,143,319,289,416,394,230,210,797,747,384,371,688,684,44,48,198,265,2017-12-30,
298,144,326,289,417,411,251,243,874,859,459,400,833,848,69,70,235,304,2017-12-30,
299,145,918,923,1280,1264,691,668,2585,2697,1297,1119,2573,2591,181,180,759,788,2017-12-30,
300,146,408,432,701,633,360,369,1160,1204,676,657,1565,1514,113,80,522,692,2017-12-30,
301,147,448,421,575,590,321,312,1117,1149,574,511,1215,1143,81,79,327,343,2017-12-30,
302,148,946,944,1585,1466,766,718,2699,2838,1510,1347,3330,3285,235,212,800,869,2017-12-30,
303,149,538,460,649,644,401,359,1465,1424,713,680,1395,1347,102,84,434,477,2017-12-30,
304,150,504,489,687,700,433,375,1371,1412,671,616,1362,1365,91,93,432,365,2017-12-30,
305,151,926,903,1156,1164,725,670,2550,2762,1176,1074,2626,2648,167,145,927,1059,2017-12-30,
306,152,403,350,541,577,297,268,1056,1079,502,480,1214,1141,73,62,368,388,2017-12-30,
307,153,221,218,323,337,180,154,589,649,330,308,737,689,52,37,192,208,2017-12-30,
308,154,1260,1178,1700,1632,932,864,3793,3820,1650,1456,3628,3739,238,239,1418,1511,2017-12-30,
